Technology;Specification;Year;Unit;Value;Source
Pumped hydro;Mean;2050;2018 €/KWh*a;0.001;
Pumped hydro;Median;2018;2018 €/KWh*a;0.001;
Pumped hydro;Median;2020;2018 €/KWh*a;0.001;
Pumped hydro;Median;2030;2018 €/KWh*a;0.001;
Pumped hydro;Median;2040;2018 €/KWh*a;0.001;
Pumped hydro;Median;2050;2018 €/KWh*a;0.001;
Electrolyzers;Min;2018;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Min;2020;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Min;2030;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Min;2040;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Min;2050;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Max;2018;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Max;2020;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Max;2030;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Max;2040;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Max;2050;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Electrolyzers;Mean;2018;2018 €/KWh*a;0.001;
Electrolyzers;Mean;2020;2018 €/KWh*a;0.001;
Electrolyzers;Mean;2030;2018 €/KWh*a;0.001;
Electrolyzers;Mean;2040;2018 €/KWh*a;0.001;
Electrolyzers;Mean;2050;2018 €/KWh*a;0.001;
Electrolyzers;Median;2018;2018 €/KWh*a;0.001;
Electrolyzers;Median;2020;2018 €/KWh*a;0.001;
Electrolyzers;Median;2030;2018 €/KWh*a;0.001;
Electrolyzers;Median;2040;2018 €/KWh*a;0.001;
Electrolyzers;Median;2050;2018 €/KWh*a;0.001;
Fuel cells;Min;2018;2018 €/KWh*a;NA;
Fuel cells;Min;2020;2018 €/KWh*a;NA;
Fuel cells;Min;2030;2018 €/KWh*a;NA;
Fuel cells;Min;2040;2018 €/KWh*a;NA;
Fuel cells;Min;2050;2018 €/KWh*a;NA;
Fuel cells;Max;2018;2018 €/KWh*a;NA;
Fuel cells;Max;2020;2018 €/KWh*a;NA;
Fuel cells;Max;2030;2018 €/KWh*a;NA;
Fuel cells;Max;2040;2018 €/KWh*a;NA;
Fuel cells;Max;2050;2018 €/KWh*a;NA;
Fuel cells;Mean;2018;2018 €/KWh*a;NA;
Fuel cells;Mean;2020;2018 €/KWh*a;NA;
Fuel cells;Mean;2030;2018 €/KWh*a;NA;
Fuel cells;Mean;2040;2018 €/KWh*a;NA;
Fuel cells;Mean;2050;2018 €/KWh*a;NA;
Fuel cells;Median;2018;2018 €/KWh*a;NA;
Fuel cells;Median;2020;2018 €/KWh*a;NA;
Fuel cells;Median;2030;2018 €/KWh*a;NA;
Fuel cells;Median;2040;2018 €/KWh*a;NA;
Fuel cells;Median;2050;2018 €/KWh*a;NA;
CCS;Min;2018;2018 €/KWh*a;NA;
CCS;Min;2020;2018 €/KWh*a;NA;
CCS;Min;2030;2018 €/KWh*a;NA;
CCS;Min;2040;2018 €/KWh*a;NA;
CCS;Min;2050;2018 €/KWh*a;NA;
CCS;Max;2018;2018 €/KWh*a;NA;
CCS;Max;2020;2018 €/KWh*a;NA;
CCS;Max;2030;2018 €/KWh*a;NA;
CCS;Max;2040;2018 €/KWh*a;NA;
CCS;Max;2050;2018 €/KWh*a;NA;
CCS;Mean;2018;2018 €/KWh*a;NA;
CCS;Mean;2020;2018 €/KWh*a;NA;
CCS;Mean;2030;2018 €/KWh*a;NA;
CCS;Mean;2040;2018 €/KWh*a;NA;
CCS;Mean;2050;2018 €/KWh*a;NA;
CCS;Median;2018;2018 €/KWh*a;NA;
CCS;Median;2020;2018 €/KWh*a;NA;
CCS;Median;2030;2018 €/KWh*a;NA;
CCS;Median;2040;2018 €/KWh*a;NA;
CCS;Median;2050;2018 €/KWh*a;NA;
Open cycle gas turbines;Min;2018;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Open cycle gas turbines;Min;2020;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Open cycle gas turbines;Min;2030;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Open cycle gas turbines;Min;2040;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Open cycle gas turbines;Min;2050;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Open cycle gas turbines;Max;2018;2018 €/KWh*a;0.0010;n.a.
Open cycle gas turbines;Max;2020;2018 €/KWh*a;0.0010;n.a.
Open cycle gas turbines;Max;2030;2018 €/KWh*a;0.0010;n.a.
Open cycle gas turbines;Max;2040;2018 €/KWh*a;0.0010;n.a.
Open cycle gas turbines;Max;2050;2018 €/KWh*a;0.0010;n.a.
Open cycle gas turbines;Mean;2018;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Mean;2020;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Mean;2030;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Mean;2040;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Mean;2050;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Median;2018;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Median;2020;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Median;2030;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Median;2040;2018 €/KWh*a;0.0007;
Open cycle gas turbines;Median;2050;2018 €/KWh*a;0.0007;
Combinded-cycle gas turbines;Min;2018;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Combinded-cycle gas turbines;Min;2020;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Combinded-cycle gas turbines;Min;2030;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Combinded-cycle gas turbines;Min;2040;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Combinded-cycle gas turbines;Min;2050;2018 €/KWh*a;0.0003;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Combinded-cycle gas turbines;Max;2018;2018 €/KWh*a;0.0509;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Combinded-cycle gas turbines;Max;2020;2018 €/KWh*a;0.0509;Assumption based on IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Combinded-cycle gas turbines;Max;2030;2018 €/KWh*a;0.0509;Assumption based on IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Combinded-cycle gas turbines;Max;2040;2018 €/KWh*a;0.0594;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Combinded-cycle gas turbines;Max;2050;2018 €/KWh*a;0.0594;Assumption based on IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Combinded-cycle gas turbines;Mean;2018;2018 €/KWh*a;0.0178;
Combinded-cycle gas turbines;Mean;2020;2018 €/KWh*a;0.0178;
Combinded-cycle gas turbines;Mean;2030;2018 €/KWh*a;0.0178;
Combinded-cycle gas turbines;Mean;2040;2018 €/KWh*a;0.0206;
Combinded-cycle gas turbines;Mean;2050;2018 €/KWh*a;0.0206;
Combinded-cycle gas turbines;Median;2018;2018 €/KWh*a;0.0021;
Combinded-cycle gas turbines;Median;2020;2018 €/KWh*a;0.0021;
Combinded-cycle gas turbines;Median;2030;2018 €/KWh*a;0.0021;
Combinded-cycle gas turbines;Median;2040;2018 €/KWh*a;0.0021;
Combinded-cycle gas turbines;Median;2050;2018 €/KWh*a;0.0021;
Nuclear power plants;Min;2018;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Min;2020;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Min;2030;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Min;2040;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Min;2050;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Max;2018;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Max;2020;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Max;2030;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Max;2040;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Max;2050;2018 €/KWh*a;0.003;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Nuclear power plants;Mean;2018;2018 €/KWh*a;0.003;
Nuclear power plants;Mean;2020;2018 €/KWh*a;0.003;
Nuclear power plants;Mean;2030;2018 €/KWh*a;0.003;
Nuclear power plants;Mean;2040;2018 €/KWh*a;0.003;
Nuclear power plants;Mean;2050;2018 €/KWh*a;0.003;
Nuclear power plants;Median;2018;2018 €/KWh*a;0.003;
Nuclear power plants;Median;2020;2018 €/KWh*a;0.003;
Nuclear power plants;Median;2030;2018 €/KWh*a;0.003;
Nuclear power plants;Median;2040;2018 €/KWh*a;0.003;
Nuclear power plants;Median;2050;2018 €/KWh*a;0.003;
Hard coal power plants;Min;2018;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Hard coal power plants;Min;2020;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Hard coal power plants;Min;2030;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Hard coal power plants;Min;2040;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Hard coal power plants;Min;2050;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Hard coal power plants;Max;2018;2018 €/KWh*a;0.0382;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Hard coal power plants;Max;2020;2018 €/KWh*a;0.0382;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Hard coal power plants;Max;2030;2018 €/KWh*a;0.0382;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Hard coal power plants;Max;2040;2018 €/KWh*a;0.0382;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Hard coal power plants;Max;2050;2018 €/KWh*a;0.0382;IEA, World Energy Outlook 2019, International Energy Agency, 2019.
Hard coal power plants;Mean;2018;2018 €/KWh*a;0.0133;
Hard coal power plants;Mean;2020;2018 €/KWh*a;0.0133;
Hard coal power plants;Mean;2030;2018 €/KWh*a;0.0133;
Hard coal power plants;Mean;2040;2018 €/KWh*a;0.0133;
Hard coal power plants;Mean;2050;2018 €/KWh*a;0.0133;
Hard coal power plants;Median;2018;2018 €/KWh*a;0.0016;
Hard coal power plants;Median;2020;2018 €/KWh*a;0.0016;
Hard coal power plants;Median;2030;2018 €/KWh*a;0.0016;
Hard coal power plants;Median;2040;2018 €/KWh*a;0.0016;
Hard coal power plants;Median;2050;2018 €/KWh*a;0.0016;
Lignite power plants;Min;2018;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Lignite power plants;Min;2020;2018 €/KWh*a;0.0001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
